freq	siec	plant_tec	operator	unit	geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A	CF	CAP_NET_ELC	PRR_MAIN	MW	RO	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	11350	11375	11239	11159	10944	10962	10948	10425	9064	8981	8895	8887	8907.984	8872.571	6670.277	6309.096	4462.615	4838.765	3955.581
A	CF	CAP_NET_ELC	PRR_MAIN	MW	RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	4171	4226	4250	4223	4223	4233	4343.533	4347.541	4357.525	4546.525	: 
A	CF	CAP_NET_ELC	PRR_MAIN	MW	SE	7041	7311	7168	7433	6996	6589	6954	6861	5638	6434	6572	6582	5422	6399	6440	6093	6784	6676	6438	7101	7598	5147	7124	6582	8076	7751	7495	6175	6978	6950	7020	6265	6268	6295
A	CF	CAP_NET_ELC	PRR_MAIN	MW	SI	0	0	1060	1010	1020	1013	1013	1013	1013	1013	1019	1238	1257	1260	1257	1279	1287	1289	1234	1242	1204	1213	1227	1214	1192	1086	1272	1285.774	1467.478	1467.816	1470.529	1528.811	1527.271	1621.164
A	CF	CAP_NET_ELC	PRR_MAIN	MW	SK	0	0	0	0	0	3218	3289	3704	3160	3133	2394	2563	2409	2467	2545	2565	2471	2024	1997	2246	2945	2820	2833	2847	2411	2119	2106	2012	1882	1873	1901	1658	1627	1625
A	CF	CAP_NET_ELC	PRR_MAIN	MW	TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13302	15933	19073	20420	22405	24206	24096	24612	26823	29676	31428	32266	35671	38047	37999	40055	42344.946	42261.642	42062.104	42112.684	42457.367	43841.374	43625.265
A	CF	CAP_NET_ELC	PRR_MAIN	MW	XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1288
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	AT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	BE	5500	5485	5485	5485	5528	5632	5693	5713	5722	5713	5713	5738	5761	5761	5761	5802	5825	5825	5825	5902	5927	5927	5927	5927	5927	5913	5913	5918	5918	5930	5942	5930	4924	3916
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	BG	0	0	0	0	0	0	0	0	3532	3532	3532	3532	2722	2722	2722	2722	2722	1892	1892	1892	1892	1892	1906	1982	1975	1975	1967	1967	2008	2006	2006	2006	2006	2006
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	CY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	CZ	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	2760	3760	3760	3760	3760	3760	3760	3830	3900	3970	4040	4290	4290	4290	4290	4290	4290	4290	4290	4290	4290	4290
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	DE	22256	22377	22455	22507	22563	22684	22760	22164	22164	22179	22396	22396	23403	21439	20552	20378	20208	20208	20486	20480	20467	20467	12068	12068	12074	10799	10799	10799	10799	9525	8113	8113	4205	4205
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	DK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	EE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	EL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	ES	6973	6987	7020	7020	7020	7068	7090	7250	7300	7354	7503	7519	7577	7581	7577	7577	7365	7365	7365	7365	7450	7450	7450	6984	7399	7399	7399	7117.29	7117.29	7117.29	7117.29	7117.29	7117.29	7117.29
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	FI	2360	2360	2360	2360	2360	2310	2310	2550	2640	2640	2640	2640	2671	2671	2671	2671	2671	2671	2716	2716	2716	2716	2732	2752	2752	2752	2764	2779	2784	2794	2794	2794	2794	4394
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	FR	55750	56780	57675	59020	58515	58515	59970	62875	61675	63183	63183	63183	63273	63363	63363	63260	63260	63260	63260	63130	63130	63130	63130	63130	63130	63130	63130	63130	63130	63130	61400	61400	61400	61400
