DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2019,21.545,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2020,23.319,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2021,19.445,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2022,19.044,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BG,2023,22.549,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2004,3.071,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2005,3.131,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2006,3.263,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2007,4.001,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2008,5.131,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2009,5.92,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2010,6.161,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2011,6.245,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2012,7.111,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2013,8.428,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2014,9.144,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2015,9.903,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2016,9.833,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2017,10.478,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2018,13.873,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2019,13.777,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2020,16.879,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2021,19.069,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2022,19.427,,
