DATAFLOW,LAST UPDATE,freq,network,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MK,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MK,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MK,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,MT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NL,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NL,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NL,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NO,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NO,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,NO,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PL,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PL,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PL,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,PT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RO,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RO,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RO,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RS,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RS,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,RS,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SI,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SI,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SI,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SK,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SK,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,SK,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,XK,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,XK,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AL,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AL,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AL,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,AT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BA,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BG,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BG,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,BG,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CY,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CY,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CY,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CZ,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CZ,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,CZ,2023,0.000,,
