freq,siec,plant_tec,operator,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,NO	: 	2806.000 	2806.000 	2806.000 	3320.000 	2436.000 	2338.000 	2345.000 	2313.000 	2132.000 	1960.000 	1946.000 	797.000 	777.000 	729.000 	738.000 	783.000 	790.000 	851.000 	851.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,PL	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	0.500 	0.500 	0.500 	0.500 	0.500 	0.500 	0.500 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,PT	0.000 	5.000 	5.000 	6.000 	5.000 	5.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	5.000 	5.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.191 	6.191 	6.100 	6.100 	6.191 	5.954 	6.206 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	23.000 	35.000 	42.000 	60.000 	82.000 	83.000 	72.000 	93.000 	101.000 	90.000 	111.000 	90.000 	81.492 	82.939 	82.017 	85.126 	85.175 	93.368 	106.665 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SE	940.000 	940.000 	1004.000 	742.000 	739.000 	738.000 	542.000 	503.000 	77.000 	77.000 	56.000 	57.000 	45.000 	45.000 	3.000 	3.000 	2.000 	3.000 	3.000 	3.000 	3.000 	3.000 	3.000 	9.000 	9.000 	8.000 	12.000 	18.000 	18.000 	18.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SI	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	90.000 	109.000 	105.000 	106.000 	105.000 	104.000 	104.000 	112.000 	114.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	115.703 	115.709 	120.626 	121.590 	121.758 	121.822 	105.959 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	94.000 	94.000 	94.000 	25.000 	24.000 	25.000 	25.000 	25.000 	25.000 	25.000 	29.000 	29.000 	30.000 	30.000 	27.000 	31.000 	30.000 	32.000 	33.000 	33.000 	33.000 	35.000 	33.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.000 	100.000 	640.000 	654.000 	563.000 	563.000 	558.000 	554.000 	544.000 	544.000 	544.000 	544.000 	544.000 	544.000 	544.000 	550.000 	551.100 	551.300 	552.350 	557.550 	14.742 	13.452 	13.007 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1508.000 	1628.000 	1781.000 	1725.000 	1798.000 	1913.000 	2047.000 	2105.000 	2162.000 	2387.000 	2507.000 	2493.000 	2518.860 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,AT	6428.000 	6523.000 	6602.000 	6528.000 	6564.000 	6641.000 	6717.000 	6872.000 	7024.000 	7008.000 	7118.000 	7091.000 	7028.000 	7066.000 	7075.000 	7294.355 	7318.513 	7480.485 	7483.329 	7463.129 	7554.108 	7609.010 	7665.509 	7737.016 	7786.462 	7919.519 	7947.208 	8073.705 	8422.858 	8488.720 	8467.968 	8552.322 	8695.732 	8974.974 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2049.000 	2055.000 	2084.000 	1791.000 	1815.600 	1818.840 	1828.790 	1836.780 	1838.490 	1842.480 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,BE	94.000 	94.000 	94.000 	95.000 	95.000 	96.000 	96.000 	96.000 	97.000 	103.000 	103.000 	111.000 	111.000 	110.000 	115.000 	105.000 	107.000 	110.000 	111.000 	110.000 	118.000 	119.000 	120.000 	119.000 	121.000 	112.000 	109.100 	107.000 	107.800 	104.100 	105.800 	110.700 	123.300 	124.300 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,BG	1826.000 	1826.000 	1826.000 	1826.000 	1826.000 	1394.000 	1394.000 	1802.000 	1807.000 	1381.000 	867.000 	692.000 	935.000 	1502.000 	1835.000 	1835.000 	1835.000 	1863.000 	1971.000 	1988.000 	2035.000 	2095.000 	2168.000 	2190.000 	2206.000 	2206.000 	2210.000 	2358.550 	2366.000 	2365.350 	2363.456 	2356.233 	2335.185 	2337.280 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,CZ	868.000 	868.000 	880.000 	880.000 	876.000 	878.000 	838.000 	831.000 	834.000 	855.000 	858.000 	861.000 	865.000 	881.000 	860.000 	865.000 	865.000 	873.000 	876.000 	876.000 	876.000 	876.000 	882.000 	892.000 	890.000 	897.000 	899.000 	908.890 	909.098 	909.455 	909.512 	929.275 	928.507 	976.630 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,DE	2917.000 	2942.000 	2929.000 	2980.000 	3100.000 	3247.000 	3238.000 	3258.000 	3360.000 	3556.000 	4086.000 	4101.000 	4108.000 	3992.000 	4134.000 	4055.000 	4032.000 	4004.000 	4025.000 	4203.000 	4178.000 	4400.000 	4379.000 	4391.000 	4380.000 	4390.000 	4399.000 	4407.000 	4168.000 	4214.000 	4285.000 	4321.000 	4401.000 	4531.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,DK	10.000 	9.000 	10.000 	10.000 	9.000 	10.000 	10.000 	10.000 	11.000 	11.000 	10.000 	11.000 	11.000 	11.000 	11.000 	11.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	6.878 	9.267 	7.153 	7.153 	7.163 	7.163 	7.123 	7.123 	7.091 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EA20	57729.560 	58093.560 	58707.560 	59255.560 	59444.360 	62391.360 	62926.360 	63350.360 	63400.360 	64098.360 	69358.660 	69457.660 	69729.660 	70065.660 	70258.660 	70569.115 	70436.273 	70758.245 	71080.089 	71526.889 	72083.868 	73280.483 	73484.938 	73496.418 	73826.461 	75027.786 	75504.334 	75903.757 	76159.364 	76509.005 	76943.992 	77232.675 	77560.838 	78419.001 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EE	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.000 	2.000 	3.000 	4.000 	4.000 	5.000 	5.000 	5.000 	5.000 	7.000 	6.000 	5.000 	8.000 	8.000 	5.000 	6.000 	6.000 	7.300 	7.300 	6.000 	8.000 	6.000 	8.000 	10.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EL	2093.000 	2197.000 	2208.000 	2208.000 	2208.000 	2208.000 	2207.000 	2412.000 	2241.000 	2344.000 	2373.000 	2377.000 	2379.000 	2380.000 	2400.000 	2407.000 	2435.000 	2451.000 	2477.000 	2502.000 	2516.000 	2525.000 	2537.000 	2539.000 	2690.000 	2693.000 	2693.000 	2693.000 	2710.000 	2713.000 	2718.000 	2722.000 	2722.000 	2760.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,ES	9581.560 	9664.560 	9719.560 	9719.560 	9651.360 	10463.360 	10713.360 	10586.360 	10506.360 	10750.360 	12064.360 	12136.360 	12172.360 	12252.360 	12372.360 	12415.360 	12512.360 	12557.360 	12634.360 	12659.360 	12687.360 	12672.360 	12682.360 	12415.410 	12453.410 	13283.410 	13308.410 	13307.410 	13307.982 	13342.077 	13345.002 	13360.778 	13365.503 	13368.621 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EU27_2020	81598.560 	81948.560 	82642.560 	83490.560 	83962.360 	86187.360 	86979.360 	88477.360 	88773.360 	89334.360 	94219.660 	94173.660 	94488.660 	95337.660 	96124.660 	96435.115 	96221.273 	96975.245 	97190.089 	97824.889 	98535.868 	99672.483 	99842.938 	99750.418 	99623.461 	101251.664 	101917.601 	102457.607 	102663.033 	103025.972 	103385.781 	103697.579 	103998.913 	104929.143 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,FI	2621.000 	2648.000 	2679.000 	2731.000 	2736.000 	2777.000 	2785.000 	2861.000 	2881.000 	2881.000 	2687.000 	2731.000 	2769.000 	2771.000 	2804.000 	2840.000 	2867.000 	2907.000 	2811.000 	2834.000 	2844.000 	2885.000 	2913.000 	2922.000 	2946.000 	2947.000 	2947.000 	2968.000 	2963.000 	2949.000 	2959.000 	2989.000 	2989.000 	2987.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,FR	15997.000 	15932.000 	16010.000 	16017.000 	16033.000 	16022.000 	16071.000 	16089.000 	16094.000 	15909.000 	17479.000 	17508.000 	17596.000 	17733.000 	17618.000 	17617.000 	17627.000 	17642.000 	17734.000 	17814.000 	17953.000 	18182.513 	18198.869 	18190.267 	18211.741 	18231.064 	18300.020 	18371.167 	18395.082 	18451.544 	18672.136 	18694.752 	18663.937 	19015.708 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3041.910 	3097.031 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,HR	1782.000 	1782.000 	1782.000 	1785.000 	1785.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1775.000 	1783.000 	1790.000 	1780.000 	1780.000 	1780.000 	1780.000 	1797.000 	1846.000 	1846.000 	1846.000 	1895.000 	1896.800 	1910.800 	1907.800 	1908.900 	1921.400 	1921.600 	1921.800 	1922.800 	1928.100 	1908.900 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,HU	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	54.000 	49.000 	49.000 	49.000 	49.000 	51.000 	53.000 	53.000 	55.000 	56.000 	57.000 	57.000 	57.000 	57.000 	57.000 	57.000 	58.000 	58.000 	60.000 	60.000 	60.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,IE	223.000 	226.000 	226.000 	226.000 	227.000 	227.000 	232.000 	233.000 	233.000 	236.000 	236.000 	238.000 	240.000 	240.000 	240.000 	234.000 	234.000 	234.000 	234.000 	234.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,IT	10851.000 	10963.000 	10980.000 	11020.000 	11045.000 	11142.000 	11163.000 	11224.000 	11142.000 	11474.000 	13389.000 	13456.000 	13557.000 	13703.000 	13583.000 	13691.000 	13326.000 	13385.000 	13546.000 	13651.000 	13804.000 	14024.000 	14197.000 	14335.000 	14387.000 	14507.000 	14874.000 	14990.178 	15076.137 	15190.677 	15352.444 	15426.796 	15493.211 	15549.333 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LT	95.000 	95.000 	95.000 	95.000 	95.000 	95.000 	95.000 	98.000 	98.000 	100.000 	103.000 	103.000 	103.000 	109.000 	110.000 	117.000 	117.000 	115.000 	115.000 	116.000 	116.000 	116.000 	116.000 	116.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LU	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.580 	32.508 	32.508 	32.508 	32.508 	32.508 	32.508 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LV	1487.000 	1487.000 	1487.000 	1503.000 	1504.000 	1507.000 	1520.000 	1517.000 	1521.000 	1505.000 	1511.000 	1520.000 	1523.000 	1531.000 	1530.000 	1530.000 	1531.000 	1531.000 	1531.000 	1531.000 	1571.000 	1571.000 	1573.000 	1585.525 	1586.748 	1586.693 	1563.196 	1563.260 	1563.339 	1585.204 	1584.755 	1585.703 	1586.203 	1585.934 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.300 	16.300 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	629.000 	629.000 	629.000 	629.000 	629.000 	629.000 	629.000 	629.000 	629.844 	652.688 	661.923 	668.156 	674.812 	675.607 	676.243 	696.685 	696.685 	696.685 	696.685 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	556.000 	595.000 	617.000 	630.000 	658.000 	661.132 	688.230 	692.970 	698.080 	705.850 	706.000 	719.000 	720.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,NL	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.700 	37.700 	37.700 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,NO	: 	23016.000 	23032.000 	22995.000 	22895.000 	24943.000 	25156.000 	24982.000 	24665.000 	25083.000 	24806.000 	24373.000 	25807.000 	26170.000 	25992.000 	26484.000 	26615.000 	26857.000 	27211.000 	27337.000 	28367.000 	28618.000 	29158.000 	29682.000 	29889.000 	29939.000 	30281.000 	30382.000 	31120.000 	31387.000 	32285.300 	32628.300 	32822.300 	32844.300 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,PL	466.000 	466.000 	467.000 	474.000 	488.000 	481.000 	491.000 	494.000 	500.000 	504.000 	508.000 	516.000 	516.000 	523.000 	534.000 	541.000 	548.000 	545.000 	552.000 	555.000 	559.000 	563.000 	568.000 	572.000 	581.000 	587.000 	596.000 	590.609 	591.818 	597.562 	600.152 	598.098 	607.399 	610.959 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,PT	2763.000 	2743.000 	3099.000 	3551.000 	3604.000 	3853.000 	3869.000 	3875.000 	3880.000 	3902.000 	3912.000 	3937.000 	3960.000 	3960.000 	3968.000 	3962.100 	3998.100 	4007.100 	4004.100 	4036.100 	4051.100 	4484.300 	4407.900 	4356.900 	4362.000 	4440.000 	4452.300 	4455.331 	4465.242 	4491.485 	4470.306 	4484.311 	4535.416 	4533.144 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,RO	5687.000 	5687.000 	5687.000 	5872.000 	5938.000 	5998.000 	6038.000 	6074.000 	6081.000 	6082.000 	6120.000 	6122.000 	6242.000 	6248.000 	6278.000 	6266.000 	6247.000 	6289.000 	6302.000 	6276.000 	6299.000 	6319.000 	6363.000 	6148.000 	6166.000 	6248.000 	6287.000 	6246.648 	6258.600 	6234.437 	6196.506 	6206.175 	6199.861 	6211.182 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2272.879 	2272.879 	2272.879 	2272.879 	2272.879 	2272.879 	2272.879 	2272.879 	2274.879 	2293.206 	2321.997 	2351.530 	2317.000 	2403.000 	2408.000 	2416.000 	2295.000 	2300.000 	2331.000 	2339.300 	2341.992 	2364.471 	: 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SE	14964.000 	14951.000 	15017.000 	15125.000 	15333.000 	14987.000 	15234.000 	15868.000 	16092.000 	16355.000 	16450.000 	16466.000 	16142.000 	16053.000 	16299.000 	16299.000 	16232.000 	16589.000 	16349.000 	16541.000 	16621.000 	16475.000 	16312.000 	16386.000 	15888.000 	16222.000 	16355.000 	16385.000 	16314.000 	16345.000 	16307.000 	16308.000 	16300.000 	16307.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SI	728.000 	728.000 	728.000 	728.000 	728.000 	730.000 	707.000 	707.000 	783.000 	788.000 	753.000 	797.000 	844.000 	868.000 	869.000 	875.000 	905.000 	906.000 	913.000 	954.000 	958.000 	957.000 	958.000 	1003.000 	1000.000 	999.000 	997.000 	1050.926 	1047.716 	1050.090 	1050.273 	1050.305 	1044.228 	1064.879 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	1525.000 	1655.000 	1664.000 	1682.000 	1684.000 	1685.000 	1492.000 	1492.000 	1494.000 	1577.000 	1572.000 	1572.000 	1574.000 	1607.000 	1546.000 	1575.000 	1578.000 	1577.000 	1577.000 	1577.000 	1579.000 	1577.000 	1577.000 	1580.000 	1578.000 	1580.000 	1582.000 	1581.000 	1581.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11620.000 	12141.000 	11939.000 	11991.000 	12343.000 	12500.000 	12837.000 	13275.000 	14009.000 	15287.000 	16593.000 	19065.000 	21745.000 	23099.000 	25324.000 	26131.000 	26722.000 	27740.100 	27950.658 	30426.351 	31477.836 	31558.033 	31949.433 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	121.670 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.215 	0.320 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EA20	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.661 	3.022 	3.476 	1.649 	4.809 	4.065 	3.834 	1.528 	11.041 	2.400 	0.566 	7.820 	10.271 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EU27_2020	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.661 	3.022 	3.476 	1.649 	4.809 	4.065 	3.834 	1.528 	11.041 	2.400 	0.566 	9.035 	10.591 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.661 	3.022 	3.476 	1.649 	4.809 	4.065 	3.834 	1.528 	11.041 	2.400 	0.475 	4.313 	9.274 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
